business_name,postal_code,town,state,country,website,email,owner_name,source_url,_source
TCR Restaurant,76199,Karlsruhe,,,,widget-runtime@3.83.13.css,von Drittanbietern zur Verfügung gestellt werden,https://www.tcr.de/Restaurant,site
Galileo,69469,Weinheim,,,,,,http://www.pizzeria-galileo.de/impressum,site
Waldgaststätte Schützenhaus,76307,Karlsbad,,,,rathaus@karlsbad.de,in eines tagesaktuellen bwtarif-Tickets,https://www.albtal-tourismus.de/gastronomie/restaurant-waldgaststaette-schuetzenhaus-5afacfba00,site
Appenmühle,76185,Karlsruhe,,,,appenmuehle@web.de,wLzEuMC9zVHlwZS9SZXNvdXJjZVJlZiMiIHhtcDpDcmVhdG9yVG9vbD0iQWRvYmUgUGhvdG9zaG9wIENT,https://die-appenmuehle.eatbu.com/?lang=de,site
Hirsch,76337,Waldbronn,,,,kulturfreunde-albgau@web.de,local-roboto-css' href='//hirsch-etzenrot.de/wp-content/uploads/omgf/elementor-gf,https://hirsch-etzenrot.de/,site
Woinemer Hausbrauerei,69469,Weinheim,,,,info@woinemer-hausbrauerei.de,"riedrichstraße 2369469 Weinheim""/>",https://woinemer-brauerei.de/impressum/,site
Beim Schupi,76185,Karlsruhe,,,,restaurant@schupi.de,MYXllciA9IHdpbmRvdy5kYXRhTGF5ZXIgfHwgW107DQogCWZ1bmN0aW9uIGd0YWcoKXtkYXRhTGF5ZXIu,https://schupi.de/restaurant/,site
Knuspergockel im Eulenspiegel,69469,Weinheim,,,,bier@knuspergockel.de,s sind erforderlich,https://knuspergockel.de/,site
Klostermühle,72766,Reutlingen,,,,info@gasthof-klostermuehle.de,verantwortlich.,https://klostermuehle-reutlingen.de/impressum.html,site
s'Häusle,76135,Karlsruhe,,,,info@tsv-bulach.de,,https://tsv-bulach.de/impressum/,site
KSV-Clubhaus,76131,Karlsruhe,,,,bae9f029-64c33b75@ll.jpg,ull{display:none}.headerElementLogo .logoImgOnScroll{display:none}.headerElementL,https://karlsruher-sv.de/,site
Restaurant Bernstein,76189,Karlsruhe,,,,gaestebuch_bernstein@web.de,Ljubica Crkvenac Bartulovic,http://www.restaurantbernstein.com,site
Aubrac Restaurant & Terrasse,76228,Karlsruhe,,,,info@aubrac-restaurant.de,,https://www.aubrac-restaurant.de/impressum/,site
Siedlerheim,76189,Karlsruhe,,,,info@siedlerheimrestaurant.de,,https://siedlerheimrestaurant.de/kontakt/,site
Saloniki,76189,Karlsruhe,,,,kontakt@saloniki-karlsruhe.com,"S+Didot&display=swap"" rel=""stylesheet"">",https://saloniki-karlsruhe.com/impressum/,site
Athidhi,76139,Karlsruhe,,,,info@athidhi.de,yaWEtaGlkZGVuJTNEJTIydHJ1ZSUyMiUyMGNsYXNzJTNEJTIyaWNvbiUyMGljb24tcGhvbmUtY2FsbDIl,https://athidhi.de/kontakt/,site
Restaurant TV Mörsch,76287,Rheinstetten,,,,u00a0info@tv-moersch.de,ried Bach,https://www.tv-moersch.de/restaurant/,site
Treffpunkt 1721,76131,Karlsruhe,,,,info@restaurant-treffpunkt1721.de,alt erstellt. Für die Richtigkeit,https://www.treffpunkt1721.de/impressum/,site
Vogel Hausbräu Durlach,76227,Karlsruhe,,,,vogelkarlsruhe@vogelbraeu.de,,https://www.vogelbraeu.de/kontakt,site
Das Club House,76227,Karlsruhe,,,,dasclubhouse@spvgg-durlach-aue.de,alt ausgewählt.,https://dasclubhouse.de/,site
Gaststätte SG Rüppurr,76199,Karlsruhe,,,,hs81@hotmail.de,jZT0icHJlc2VydmUiPgogICAgICA8cGF0aCBkPSJNMjIsNC40bC0yLjctMi4zQzE5LjIsMiwxOS4xLDIs,https://www.gaststaette-sg-rueppurr.de/,site
B-Bistro,69502,Hemsbach,,,,info@brennessel-kino.de,erninseln,https://www.brennessel-kino.de/das-b-cafe/,site
Lindenbräu,76337,Waldbronn,,,,info@lindenbraeu-waldbronn.de,Dipl.-Braumeister Ralf Störzbach,https://lindenbraeu-waldbronn.de/impressum/,site
Mediterran,76187,Karlsruhe,,,,deni.kvesic@gmail.com,,https://www.restaurant-mediterran.com/impressum/,site
Akropolis,69493,Hirschberg an der Bergstraße,,,,info@akropolis-hirschberg.de,,https://www.akropolis-hirschberg.de/impressum.html,site
