business_name,postal_code,town,state,country,website,email,owner_name,source_url,_source,_email_is_generic,_email_domain,_site_domain,_email_matches_site
Waldgaststätte Schützenhaus,76307,Karlsbad,,,,rathaus@karlsbad.de,,https://www.albtal-tourismus.de/gastronomie/restaurant-waldgaststaette-schuetzenhaus-5afacfba00,site,False,karlsbad.de,,False
Appenmühle,76185,Karlsruhe,,,,appenmuehle@web.de,,https://die-appenmuehle.eatbu.com/?lang=de,site,False,web.de,,False
Hirsch,76337,Waldbronn,,,,kulturfreunde-albgau@web.de,,https://hirsch-etzenrot.de/,site,False,web.de,,False
Woinemer Hausbrauerei,69469,Weinheim,,,,info@woinemer-hausbrauerei.de,,https://woinemer-brauerei.de/impressum/,site,True,woinemer-hausbrauerei.de,,False
Beim Schupi,76185,Karlsruhe,,,,restaurant@schupi.de,,https://schupi.de/restaurant/,site,False,schupi.de,,False
Knuspergockel im Eulenspiegel,69469,Weinheim,,,,bier@knuspergockel.de,s sind erforderlich,https://knuspergockel.de/,site,False,knuspergockel.de,,False
Klostermühle,72766,Reutlingen,,,,info@gasthof-klostermuehle.de,verantwortlich.,https://klostermuehle-reutlingen.de/impressum.html,site,True,gasthof-klostermuehle.de,,False
s'Häusle,76135,Karlsruhe,,,,info@tsv-bulach.de,,https://tsv-bulach.de/impressum/,site,True,tsv-bulach.de,,False
Restaurant Bernstein,76189,Karlsruhe,,,,gaestebuch_bernstein@web.de,Ljubica Crkvenac Bartulovic,http://www.restaurantbernstein.com,site,False,web.de,,False
Aubrac Restaurant & Terrasse,76228,Karlsruhe,,,,info@aubrac-restaurant.de,,https://www.aubrac-restaurant.de/impressum/,site,True,aubrac-restaurant.de,,False
Siedlerheim,76189,Karlsruhe,,,,info@siedlerheimrestaurant.de,,https://siedlerheimrestaurant.de/kontakt/,site,True,siedlerheimrestaurant.de,,False
Saloniki,76189,Karlsruhe,,,,kontakt@saloniki-karlsruhe.com,,https://saloniki-karlsruhe.com/impressum/,site,True,saloniki-karlsruhe.com,,False
Athidhi,76139,Karlsruhe,,,,info@athidhi.de,,https://athidhi.de/kontakt/,site,True,athidhi.de,,False
Restaurant TV Mörsch,76287,Rheinstetten,,,,u00a0info@tv-moersch.de,ried Bach,https://www.tv-moersch.de/restaurant/,site,False,tv-moersch.de,,False
Treffpunkt 1721,76131,Karlsruhe,,,,info@restaurant-treffpunkt1721.de,,https://www.treffpunkt1721.de/impressum/,site,True,restaurant-treffpunkt1721.de,,False
Vogel Hausbräu Durlach,76227,Karlsruhe,,,,vogelkarlsruhe@vogelbraeu.de,,https://www.vogelbraeu.de/kontakt,site,False,vogelbraeu.de,,False
Das Club House,76227,Karlsruhe,,,,dasclubhouse@spvgg-durlach-aue.de,alt ausgewählt.,https://dasclubhouse.de/,site,False,spvgg-durlach-aue.de,,False
Gaststätte SG Rüppurr,76199,Karlsruhe,,,,hs81@hotmail.de,,https://www.gaststaette-sg-rueppurr.de/,site,False,hotmail.de,,False
B-Bistro,69502,Hemsbach,,,,info@brennessel-kino.de,erninseln,https://www.brennessel-kino.de/das-b-cafe/,site,True,brennessel-kino.de,,False
Lindenbräu,76337,Waldbronn,,,,info@lindenbraeu-waldbronn.de,Dipl.-Braumeister Ralf Störzbach,https://lindenbraeu-waldbronn.de/impressum/,site,True,lindenbraeu-waldbronn.de,,False
Mediterran,76187,Karlsruhe,,,,deni.kvesic@gmail.com,,https://www.restaurant-mediterran.com/impressum/,site,False,gmail.com,,False
Akropolis,69493,Hirschberg an der Bergstraße,,,,info@akropolis-hirschberg.de,,https://www.akropolis-hirschberg.de/impressum.html,site,True,akropolis-hirschberg.de,,False
relexa Waldhotel Schatten,70569,Stuttgart,,,,stuttgart@relexa-hotel.de,,https://www.relexa-hotel-stuttgart.de/,site,False,relexa-hotel.de,,False
Oberer See,76185,Karlsruhe,,,,info@oberersee.de,,https://www.oberersee-karlsruhe.de,site,True,oberersee.de,,False
Hatz,76131,Karlsruhe,,,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,,https://www.xn--bcker-hatz-q5a.de,site,False,sentry-next.wixpress.com,,False
Panorama,76137,Karlsruhe,,,,info@panorama-Karlsruhe.eu,,http://www.panorama-karlsruhe.eu/impressum.html,site,True,panorama-karlsruhe.eu,,False
Enchilada,76133,Karlsruhe,,,,karlsruhe@enchilada-gruppe.de,,https://karlsruhe.enchilada.de/impressum/,site,False,enchilada-gruppe.de,,False
Denkfabrik,76131,Karlsruhe,,,,events@denkfabrik-ka.de,,https://denkfabrik-karlsruhe.de/impressum,site,False,denkfabrik-ka.de,,False
Il Teatro²,76137,Karlsruhe,,,,reservieren@ilteatro.de,,https://www.ilteatro.de/,site,False,ilteatro.de,,False
Zum Sternen,76275,Ettlingen,,,,Info@zum-sternen.com,,https://www.albtal-tourismus.de/gastronomie/restaurant-zum-sternen-45e2710b39,site,True,zum-sternen.com,,False
Trattoria Da Giovanni,76133,Karlsruhe,,,,contact@name.com,hM2YifQ%3D%3D,http://trattoria-da-giovanni.de/,site,True,name.com,,False
Tiziano,76275,Ettlingen,,,,info@tiziano-ettlingen.de,,https://tiziano-ettlingen.de/,site,True,tiziano-ettlingen.de,,False
Moghul Mahal,76185,Karlsruhe,,,,info@moghul-mahal.de,,https://moghul-mahal.de/,site,True,moghul-mahal.de,,False
Palladio,76275,Ettlingen,,,,ltu_01@yahoo.de,,https://www.palladio-ettlingen.de/,site,False,yahoo.de,,False
Kouros am See,76275,Ettlingen,,,,lagre@t-online.de,,https://www.restaurant-kouros.de/kontakt-anfahrt/impressum/,site,False,t-online.de,,False
Taqueria Taol,76199,Karlsruhe,,,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,,https://www.taqueria-taol.de/,site,False,sentry-next.wixpress.com,,False
La Fontana di Capri,68809,Neulußheim,,,,info@visuent.de,rische Fischkreationen & klassische Fleischspezialitäten,http://www.lafontanadicapri.de/,site,True,visuent.de,,False
Rosine,76275,Ettlingen,,,,die-rosine@gmx.de,,https://wirtshaus-rosine.de/restaurant-ettlingen/,site,False,gmx.de,,False
Café Binder,72070,Tübingen,,,,info@pension-binder.de,,https://www.pension-binder.de/,site,True,pension-binder.de,,False
Adler,72531,Hohenstein,,,,info@adler-meidelstetten.de,alt,https://adler-meidelstetten.de/impressum,site,True,adler-meidelstetten.de,,False
Café Hermann,79106,Freiburg im Breisgau,,,,info@hermannfreiburg.de,,https://hermannfreiburg.de/,site,True,hermannfreiburg.de,,False
Werkbank,76131,Karlsruhe,,,,willkommen@werkbank-karlsruhe.de,Egemen Dogan,http://werkbank-karlsruhe.de/impressum,site,False,werkbank-karlsruhe.de,,False
