Business Name,Postal Code,Town,State,Country,Source URL,Website,E-mail
Woinemer Hausbrauerei,69469,Weinheim,,DE,https://www.openstreetmap.org/node/16257541,https://www.woinemer-brauerei.de,info@woinemer-brauerei.de
Galileo,69469,Weinheim,,DE,https://www.openstreetmap.org/node/16351361,http://www.pizzeria-galileo.de/,
Knuspergockel im Eulenspiegel,69469,Weinheim,,DE,https://www.openstreetmap.org/node/16351362,https://knuspergockel.de/,
Klostermühle,72766,Reutlingen,,DE,https://www.openstreetmap.org/node/24956467,http://www.klostermuehle-reutlingen.de/,
Waldgaststätte Schützenhaus,76307,Karlsbad,,DE,https://www.openstreetmap.org/node/24958688,https://www.albtal-tourismus.de/gastronomie/restaurant-waldgaststaette-schuetzenhaus-5afacfba00,
Hirsch,76337,Waldbronn,,DE,https://www.openstreetmap.org/node/24969583,http://www.hirsch-etzenrot.de/,
Reinhards,76199,Karlsruhe,,DE,https://www.openstreetmap.org/node/25185956,https://reinhards-restaurant.jimdosite.com/,
TCR Restaurant,76199,Karlsruhe,,DE,https://www.openstreetmap.org/node/25186140,https://www.tcr.de/Restaurant,tcr-restaurant@web.de
Appenmühle,76185,Karlsruhe,,DE,https://www.openstreetmap.org/node/25242049,https://die-appenmuehle.eatbu.com,hello@appenmuehle.de
Beim Schupi,76185,Karlsruhe,,DE,https://www.openstreetmap.org/node/25242198,https://schupi.de/restaurant/,info@schupi.de
s'Häusle,76135,Karlsruhe,,DE,https://www.openstreetmap.org/node/25242287,https://tsv-bulach.de/s-haeusle/,info@s-haeusle.de
Zum Spatenstich,76131,Karlsruhe,,DE,https://www.openstreetmap.org/node/25311867,https://zum-spatenstich.metro.bar/?lang=de,Safapour@web.de
Deurer's Kloistoibacher im Rosenstüble,76139,Karlsruhe,,DE,https://www.openstreetmap.org/node/25312115,http://kloistoibacher.de/,
Athidhi,76139,Karlsruhe,,DE,https://www.openstreetmap.org/node/25313988,https://athidhi.de/athidhikarlsruhe-2/,
KSV-Clubhaus,76131,Karlsruhe,,DE,https://www.openstreetmap.org/node/25397906,https://karlsruher-sv.de/,
Aubrac Restaurant & Terrasse,76228,Karlsruhe,,DE,https://www.openstreetmap.org/node/25508380,https://www.aubrac-restaurant.de/,reservierung@aubrac-restaurant.de
Siedlerheim,76189,Karlsruhe,,DE,https://www.openstreetmap.org/node/25642572,https://siedlerheimrestaurant.de/,info@siedlerheimrestaurant.de
Restaurant Bernstein,76189,Karlsruhe,,DE,https://www.openstreetmap.org/node/25642631,http://www.restaurantbernstein.com,
Saloniki,76189,Karlsruhe,,DE,https://www.openstreetmap.org/node/25642801,https://saloniki-karlsruhe.com/,kontakt@saloniki-karlsruhe.com
Treffpunkt 1721,76131,Karlsruhe,,DE,https://www.openstreetmap.org/node/25967634,https://www.treffpunkt1721.de/,info@restaurant-treffpunkt1721.de
Gaststätte Mastweide,76227,Karlsruhe,,DE,https://www.openstreetmap.org/node/25970523,https://mastweide-karlsruhe.metro.rest/,Kosoner84@gmail.com
Restaurant TV Mörsch,76287,Rheinstetten,,DE,https://www.openstreetmap.org/node/26508116,https://www.tv-moersch.de/restaurant/,
Vogel Hausbräu Durlach,76227,Karlsruhe,,DE,https://www.openstreetmap.org/node/26940248,https://www.vogelbraeu.de/,durlach@vogelbraeu.de
Das Club House,76227,Karlsruhe,,DE,https://www.openstreetmap.org/node/26963741,https://www.dasclubhouse.de/,dasclubhouse@spvgg-durlach-aue.de
Akropolis,69493,Hirschberg an der Bergstraße,,DE,https://www.openstreetmap.org/node/27134433,http://www.akropolis-hirschberg.de,info@akropolis-hirschberg.de
Gaststätte SG Rüppurr,76199,Karlsruhe,,DE,https://www.openstreetmap.org/node/27159164,https://www.gaststaette-sg-rueppurr.de/,kontakt@gaststaette-sg-rueppurr.de
B-Bistro,69502,Hemsbach,,DE,https://www.openstreetmap.org/node/27555289,https://www.brennessel-kino.de/das-b-cafe/,
Lindenbräu,76337,Waldbronn,,DE,https://www.openstreetmap.org/node/28233150,https://lindenbraeu-waldbronn.de/,
Punjab,76133,Karlsruhe,,DE,https://www.openstreetmap.org/node/28390780,https://www.punjab-restaurant.de,info@punjab-karlsruhe.de
Napule é,76287,Rheinstetten,,DE,https://www.openstreetmap.org/node/28422735,https://www.napule-e.de/,napule_e@iCloud.com
Mediterran,76187,Karlsruhe,,DE,https://www.openstreetmap.org/node/29019838,https://www.restaurant-mediterran.com/,
Oberer See,76185,Karlsruhe,,DE,https://www.openstreetmap.org/node/29132025,http://www.oberersee.de,
relexa Waldhotel Schatten,70569,Stuttgart,,DE,https://www.openstreetmap.org/node/29283708,https://www.relexa-hotel-stuttgart.de/,stuttgart@relexa-hotel.de
Denkfabrik,76131,Karlsruhe,,DE,https://www.openstreetmap.org/node/29948730,https://denkfabrik-karlsruhe.de/,events@denkfabrik-ka.de
Enchilada,76133,Karlsruhe,,DE,https://www.openstreetmap.org/node/29990261,https://karlsruhe.enchilada.de/,
Hatz,76131,Karlsruhe,,DE,https://www.openstreetmap.org/node/29991932,http://ich-geh-zum-hatz.de/,
Gioia,76137,Karlsruhe,,DE,https://www.openstreetmap.org/node/30023107,https://pizzeria-gioia.de/,caloraffaele@yahoo.de
Panorama,76137,Karlsruhe,,DE,https://www.openstreetmap.org/node/30023712,http://www.panorama-karlsruhe.eu/,
Großer Kurfürst,76135,Karlsruhe,,DE,https://www.openstreetmap.org/node/30023741,https://www.grosserkurfuerst-karlsruhe.de,grosserkurfuerst@web.de
Gasthaus Gutenberg,76135,Karlsruhe,,DE,https://www.openstreetmap.org/node/30029831,https://www.gasthaus-gutenberg.de/,
Moghul Mahal,76185,Karlsruhe,,DE,https://www.openstreetmap.org/node/30030051,https://www.moghul-mahal.de/,
Pronto Pronto,76133,Karlsruhe,,DE,https://www.openstreetmap.org/node/30030059,http://www.prontopronto-karlsruhe.de/,
Bangkok Foodland,76133,Karlsruhe,,DE,https://www.openstreetmap.org/node/30030244,https://www.bangkok-foodland.com,eberhardt.sunisa@gmail.com
Trattoria Da Giovanni,76133,Karlsruhe,,DE,https://www.openstreetmap.org/node/30030260,http://www.trattoria-da-giovanni.de,
Il Teatro²,76137,Karlsruhe,,DE,https://www.openstreetmap.org/node/30030263,https://www.ilteatro.de/,
Thasy Tamil Karlsruhe,76137,Karlsruhe,,DE,https://www.openstreetmap.org/node/30030267,https://www.thasykarlsruhe.de,
King Seng,76137,Karlsruhe,,DE,https://www.openstreetmap.org/node/30030269,https://www.king-seng.de/,king-seng@gmx.de
Zum Sternen,76275,Ettlingen,,DE,https://www.openstreetmap.org/node/30080770,https://www.albtal-tourismus.de/gastronomie/restaurant-zum-sternen-45e2710b39,
Tiziano,76275,Ettlingen,,DE,https://www.openstreetmap.org/node/30080771,https://www.tiziano-ettlingen.de/,info@tiziano-ettlingen.de
Palladio,76275,Ettlingen,,DE,https://www.openstreetmap.org/node/30080773,https://www.palladio-ettlingen.de/,
La Cubanita,76275,Ettlingen,,DE,https://www.openstreetmap.org/node/30080774,http://www.lacubanita-ettlingen.de,
Portobello,76275,Ettlingen,,DE,https://www.openstreetmap.org/node/30080787,https://www.portobello-ettlingen.de/,
Pot au Feu,76275,Ettlingen,,DE,https://www.openstreetmap.org/node/30084719,https://www.pot-au-feu.de/,
Kouros am See,76275,Ettlingen,,DE,https://www.openstreetmap.org/node/30116859,https://www.restaurant-kouros.de,hellas@restaurant-kouros.de
Padellino,76275,Ettlingen,,DE,https://www.openstreetmap.org/node/30116868,http://www.padellino.de/,
Taqueria Taol,76199,Karlsruhe,,DE,https://www.openstreetmap.org/node/30119977,https://www.taqueria-taol.de/,kontakt@taqueria-taol.de
Naturfreundehaus Wagbachhäus'l,68804,Altlußheim,,DE,https://www.openstreetmap.org/node/30201559,https://www.naturfreundehaus-wagbachhaeusl.de/,
La Fontana di Capri,68809,Neulußheim,,DE,https://www.openstreetmap.org/node/30393985,http://www.lafontanadicapri.de/,
Rosine,76275,Ettlingen,,DE,https://www.openstreetmap.org/node/30484219,https://wirtshaus-rosine.de/restaurant-ettlingen/,die-rosine@gmx.de
La Locanda,68305,Mannheim,,DE,https://www.openstreetmap.org/node/30561986,http://www.locanda-mannheim.de/,
Café Binder,72070,Tübingen,,DE,https://www.openstreetmap.org/node/30909788,http://www.pension-binder.de/,
Adler,72531,Hohenstein,,DE,https://www.openstreetmap.org/node/30910574,https://adler-meidelstetten.de/,info@adler-meidelstetten.de
Gärtner Hütt,76133,Karlsruhe,,DE,https://www.openstreetmap.org/node/31151431,https://www.gaertner-huett.de/,
Ristorante Basilikum,72074,Tübingen,,DE,https://www.openstreetmap.org/node/31222393,http://www.ristorantebasilikum.de/,
Die Zwiebel,76131,Karlsruhe,,DE,https://www.openstreetmap.org/node/31261582,http://diezwiebel.net/,diezwiebel@diezwiebel.net
Oxford Café Ost,76131,Karlsruhe,,DE,https://www.openstreetmap.org/node/31261876,https://oxford-ost.de/,
Werkbank,76131,Karlsruhe,,DE,https://www.openstreetmap.org/node/31261877,http://werkbank-karlsruhe.de,willkommen@werkbank-karlsruhe.de
Café Hermann,79106,Freiburg im Breisgau,,DE,https://www.openstreetmap.org/node/31449381,https://hermannfreiburg.de/,
Wirtshaus zum Goldenen Anker,79102,Freiburg im Breisgau,,DE,https://www.openstreetmap.org/node/31568121,http://www.goldener-anker-freiburg.de/,info@goldener-anker-freiburg.de
Paradies,79106,Freiburg im Breisgau,,DE,https://www.openstreetmap.org/node/31577417,https://www.paradies-freiburg.de/de/restaurant,info@paradies-freiburg.de
Eden Galerie meets Blüten Café,79098,Freiburg im Breisgau,,DE,https://www.openstreetmap.org/node/31594319,https://www.edengalerie.com/,info@edengalerie.com
Harmonie,79098,Freiburg im Breisgau,,DE,https://www.openstreetmap.org/node/31594364,https://harmonie-freiburg.de/,info@harmonie-freiburg.de
Café Journal,79098,Freiburg im Breisgau,,DE,https://www.openstreetmap.org/node/31680192,https://journal-freiburg.de/,
Gasthof Krone,71560,Sulzbach an der Murr,,DE,https://www.openstreetmap.org/node/32350700,https://www.sulzbach-krone.de/,
Aumatt,76530,Baden-Baden,,DE,https://www.openstreetmap.org/node/33120831,https://www.aumatt-restaurant.de/,
Thai Garden,76530,Baden-Baden,,DE,https://www.openstreetmap.org/node/33120833,http://www.griechisches-restaurant-olive.de/,
Altes Brauhaus am Schlössle,71560,Sulzbach an der Murr,,DE,https://www.openstreetmap.org/node/33183159,https://www.sulzbacher-schloesslebraeu.de/,
Naturfreundehaus Rheinwaldhütte,76189,Karlsruhe,,DE,https://www.openstreetmap.org/node/34984249,http://www.beimiri.de/,
