business_name,postal_code,town,state,country,website,email,owner_name,source_url,_source,_email_is_generic,_email_domain,_site_domain,_email_matches_site
Biergarten Engelkeller,86609,Donauwörth,,,,info@engelkeller-donau.de,Robert Freiberger,https://www.engelkeller-donau.de/footer/impressum/,site,True,engelkeller-donau.de,,False
Eselsburg,67435,Neustadt an der Weinstraße,,,,schorle@eselsburg.de,erninseln,https://eselsburg.de/,site,False,eselsburg.de,,False
Forissimo,53113,Bonn,,,,forissimo@t-online.de,erninseln,https://ristorante-forissimo.de/,site,False,t-online.de,,False
Der alte Auf,24217,Fiefbergen,,,,info@der-alte-auf.de,Christopher Wulff,https://www.der-alte-auf.de/impressum-kontakt/index.html,site,True,der-alte-auf.de,,False
WoBu,33602,Bielefeld,,,,info@x-living.de,Patricia Fiolka,https://www.wobu-food.de/impressum.html,site,True,x-living.de,,False
Atawich,50354,Hürth,,,,info@atawich.de,Ali Roshanzamir,https://www.atawich.de/de/impressum,site,True,atawich.de,,False
Uli's Schlemmertreff,76534,Baden-Baden,,,,Ulis-Schlemmertreff@t-online.de,ile,https://www.ulis-schlemmertreff.de/impressum/,site,False,t-online.de,,False
Schwerdtner,2763,Zittau,,,,bewerbung@baeckerei-schwerdtner.de,ried Löffler übernehmen den Betrieb.,https://www.baeckerei-schwerdtner.de/index.html,site,False,baeckerei-schwerdtner.de,,False
Landshuter Hof,94315,Straubing,,,,info@landshuter-hof-straubing.de,Tamara Kramheller,https://www.landshuter-hof-straubing.de/impressum.html,site,True,landshuter-hof-straubing.de,,False
Bäckerei Konditorei Wolf,86163,Augsburg,,,,info@baeckerei-wolf.de,ührung wird der Teig besonders fluffig.,https://www.baeckerei-wolf.de/,site,True,baeckerei-wolf.de,,False
Hofcafe Utz,83257,Gstadt am Chiemsee,,,,info@utzhof-chiemsee.de,Stephan Dittrich,https://www.utzhof-chiemsee.de/impressum/,site,True,utzhof-chiemsee.de,,False
Schloßkrug,39264,Gommern,,,,info@schlosskrug-dornburg.de,s. Dies gilt insbesondere für Vervielfältigung,https://www.schlosskrug-dornburg.de/impressum---datenschutz.html,site,True,schlosskrug-dornburg.de,,False
Lohner Landbäcker,48527,Nordhorn,,,,info@lohner-landbaecker.de,Heinrich van Lengerich,https://www.lohner-landbaecker.de/impressum/,site,True,lohner-landbaecker.de,,False
Fischerhütte,17209,Sietow,,,,grodotzki.mark167@gmail.com,rischen Fisch genießen,https://fischerhuette-sietow.de/fischrestaurant/,site,False,gmail.com,,False
Bergwerk,28870,Ottersberg,,,,info@bergwerk-quelkhorn.de,Eberhardt & Henke GbR,https://bergwerk-quelkhorn.de/impressum/,site,True,bergwerk-quelkhorn.de,,False
Alto,90402,Nürnberg,,,,info@adina.eu,Andrew Sime Hunter,https://www.adinahotels.com/de/imprint/,site,True,adina.eu,,False
